sku,match_name,youtube_id,timestamp_seconds,division_id
RE-V5RC-25-0165,Q77,uZLlramgfoQ,15244,1
RE-V5RC-25-0165,Q78,uZLlramgfoQ,15398,1
RE-V5RC-25-0165,Q79,uZLlramgfoQ,15562,1
RE-V5RC-25-0165,Q80,uZLlramgfoQ,15779,1
RE-V5RC-25-0165,Q81,k5bKDk28BQ8,207,1
RE-V5RC-25-0165,Q82,k5bKDk28BQ8,396,1
RE-V5RC-25-0165,Q83,k5bKDk28BQ8,544,1
RE-V5RC-25-0165,Q84,k5bKDk28BQ8,696,1
RE-V5RC-25-0165,Q85,k5bKDk28BQ8,846,1
RE-V5RC-25-0165,Q86,k5bKDk28BQ8,1023,1
RE-V5RC-25-0165,Q87,k5bKDk28BQ8,1176,1
RE-V5RC-25-0165,Q88,k5bKDk28BQ8,1340,1
RE-V5RC-25-0165,Q89,k5bKDk28BQ8,1487,1
RE-V5RC-25-0165,Q90,k5bKDk28BQ8,1638,1
RE-V5RC-25-0165,Q91,k5bKDk28BQ8,1792,1
RE-V5RC-25-0165,Q92,k5bKDk28BQ8,1947,1
RE-V5RC-25-0165,Q93,k5bKDk28BQ8,2117,1
RE-V5RC-25-0165,Q94,k5bKDk28BQ8,2273,1
RE-V5RC-25-0165,Q95,k5bKDk28BQ8,2552,1
RE-V5RC-25-0165,Q96,k5bKDk28BQ8,2699,1
RE-V5RC-25-0165,Q97,k5bKDk28BQ8,2845,1
RE-V5RC-25-0165,Q98,k5bKDk28BQ8,3005,1
RE-V5RC-25-0165,Q99,k5bKDk28BQ8,3190,1
RE-V5RC-25-0165,Q100,k5bKDk28BQ8,3348,1
RE-V5RC-25-0165,Q101,k5bKDk28BQ8,3489,1
RE-V5RC-25-0165,Q102,k5bKDk28BQ8,3676,1
RE-V5RC-25-0165,Q103,k5bKDk28BQ8,3824,1
RE-V5RC-25-0165,Q104,k5bKDk28BQ8,3983,1
RE-V5RC-25-0165,Q105,k5bKDk28BQ8,4173,1
RE-V5RC-25-0165,Q106,k5bKDk28BQ8,4325,1
RE-V5RC-25-0165,Q107,k5bKDk28BQ8,4472,1
RE-V5RC-25-0165,Q108,k5bKDk28BQ8,4632,1
RE-V5RC-25-0165,Q109,k5bKDk28BQ8,4810,1
RE-V5RC-25-0165,Q110,k5bKDk28BQ8,4956,1
RE-V5RC-25-0165,Q111,k5bKDk28BQ8,9885,1
RE-V5RC-25-0165,Q112,k5bKDk28BQ8,5372,1
RE-V5RC-25-0165,Q113,k5bKDk28BQ8,5530,1
RE-V5RC-25-0165,Q114,k5bKDk28BQ8,5678,1
RE-V5RC-25-0165,Q115,k5bKDk28BQ8,5846,1
